"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",602.857,
"ZAF","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",613.553,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",884.759,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",943.999,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1042.85,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1211.554,"E"
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",713.535,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",743.665,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",722.309,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",784.887,"E"
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1382.481,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1458.541,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1553.672,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1666.643,"E"
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",292.832,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",308.443,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",321.751,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",341.257,"E"
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",958.284,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1004.07,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1103.031,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1268.829,"E"
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1374.113,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1424.073,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1462.608,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1521.436,"E"
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2175.348,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2385.597,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2432.871,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2770.717,"E"
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1276.038,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1384.86,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1399.136,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1491.502,"E"
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",979.818,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1129.543,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1344.342,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1530.065,"E"
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",271.098,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",306.584,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",341.75,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",376.745,"E"
"MKD","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",639.78,
"MKD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",302.62,
